`0x43001160`; `Sound Options`
`0x43001174`; `Sound Mode`
`0x43001175`; `On`
`0x43001176`; `Off`
`0x4300117d`; `CONTINUE`
`0x43001195`; `No`
`0x43001196`; `Yes`
`0x43001651`; `Back`
`0x43001953`; `Subtitles`
`0x4300235d`; `Movie Subtitles`
`0x430024d8`; `RESTART LEVEL`
`0x430024d9`; `Are you sure you want to restart?\nAll unsaved progress will be lost.`
`0x43002cf7`; `Loading...`
`0x43002fbd`; `Options`
`0x43002fc4`; `Select`
`0x43002fc5`; `Back`
`0x43002fc7`; `paused`
`0x43002fc8`; `restart`
`0x430030e9`; `Electro-Whip`
`0x430030ea`; `Short range electrical whip with attraction function.`
`0x430030eb`; `Whiteroom: Mooch`
`0x430030ec`; `Whiteroom: Basic Movement`
`0x430030ed`; `Whiteroom: Rapid Deployment Vehicle`
`0x430030ee`; `Whiteroom: Non-Playable Characters`
`0x430030ef`; `Whiteroom: Enemies`
`0x430030f0`; `SaberSense Chip`
`0x430030f1`; `Chips can be spent on new weapons and upgrades at kiosks.`
`0x430030f2`; `Open`
`0x430030f3`; `Close`
`0x430030f4`; `Use`
`0x430030f6`; `Saberling Food Processor: <TEB 1124091129>. These can make the environment treacherous by creating pools of hazardous liquid.`
`0x430030f7`; `Whiteroom: Interactive Objects`
`0x430030f8`; `Whiteroom: Special Effects`
`0x430030f9`; `Whiteroom: Special Movements`
`0x430030fa`; `Whiteroom: Gadgets`
`0x430030fb`; `Scanning....`
`0x430030fc`; `Scan Aborted!`
`0x430030fd`; `Saberling Toaster: <TEB 1124091129>. This scuttling enemy can close in rapidly on an unprepared victim. Its glowing hot filaments must be avoided at all costs.`
`0x430030fe`; `SaberSense Chip: Currency which can be used to purchase items from vending kiosks.`
`0x430030ff`; `Plasma Gun`
`0x43003100`; `Fires pulses of plasma that damage enemies.`
`0x43003101`; `Jetpack`
`0x43003102`; `Assists user with jumping and enables hovering.`
`0x43003103`; `Mooch Transmitter`
`0x43003104`; `Allows remote control of Mooch for limited time and at limited distance.`
`0x43003105`; `Electro-Whip: Short range electrical interaction device.`
`0x43003106`; `Plasma Gun: Long range projectile attack device.`
`0x43003107`; `Jetpack: Assists user with jumping and enables hovering.`
`0x43003108`; `Mooch Transmitter: Allows remote control of Mooch for limited time and at limited distance.`
`0x43003109`; `Warning: Out of Range!`
`0x4300310a`; `Warning: Signal Power Depleted!`
`0x4300310b`; `Saberling Waffle Maker: <TEB 1124091129>. Little more than a set of snapping jaws, a horde of these mindless kitchen appliances can soon overwhelm their prey.`
`0x4300310c`; `Large Health`
`0x4300310d`; `Restores 10 units of health.`
`0x4300310e`; `Ammo: Plasma Cell`
`0x4300310f`; `Plasma Cells provide ammunition for the Plasma Gun`
`0x43003110`; `Large Health: Restores a large amount of health.`
`0x43003111`; `Plasma Cell: Ammunition for the Plasma Gun (x 5)`
`0x43003112`; `Magnetic Grapple`
`0x43003113`; `Can pull the user toward magnetic speaker units.`
`0x43003114`; `Magnetic Grapple: Can pull the user toward magnetic objects`
`0x43003115`; `High pressure heating release valve.   `
`0x43003116`; `Small Health`
`0x43003117`; `Restores 1 unit of health.`
`0x43003118`; `Health Upgrade`
`0x43003119`; `Increases health capacity by 1 unit.`
`0x4300311a`; `Small Health: Restores a small amount of health.`
`0x4300311b`; `Health Upgrade: Increases health capacity by 1 unit.`
`0x4300311c`; `Rapid Deployment Vehicle (RDV)`
`0x4300311d`; `Spherical vehicle that allows rapid transport between areas.`
`0x4300311e`; `Rapid Deployment Vehicle (RDV): Spherical vehicle that allows rapid transport between areas.`
`0x4300311f`; `Saberlizer`
`0x43003120`; `Fires SaberSense chips into appliances and weaponizes them.`
`0x43003121`; `Saberlizer: Fires Saberling AI chips which can transform devices into weaponized versions.`
`0x43003122`; `Saberling Water Cooler: <TEB 1124091129>. Its protective energy shield cannot cover its hot water container, indicating a possible weakpoint.`
`0x43003123`; `Select Gadget & Press D-Pad to Assign`
`0x43003124`; `Hack`
`0x43003125`; `Saberling Vacuum Cleaner: <TEB 1124091129>. Their ability to seek out and use small appliances  as weapons can make for unpredictable encounters.`
`0x43003126`; `Saberling Microwave Oven: Resistant to most damage, but it will overload its circuits if an explosive object is thrown inside it whilst its door is open.`
`0x43003127`; `Weaponized Saberling Coffe Maker Component`
`0x43003128`; `Saberling Paper Shredder: <TEB 1124091127>. The ultimate security guard. Shielded from most damage sources, it can only be destroyed by a motion sensor laser.`
`0x43003129`; `Saberling Extractor Fan: <TEB 1124091128>. Once weaponized, its air current can be used to access otherwise unreachable places but be careful to avoid contact with its blades. It can be disrupted by most weapons to temporarily stop the air flow.`
`0x4300312a`; `Saberling Fire Extinguisher: <TEB 1124091129>. Although no longer interested in putting out fires, this pyromaniac can sometimes be tricked into melting ice barriers with careful luring.`
`0x4300312b`; `Saberling Automated Vacuum Cleaner: <TEB 1124091127>. This guard keeps its territory clean from unwanted intruders. Protected by an energy shield, it can only be destroyed by a motion sensor laser.`
`0x4300312c`; `Saberling Electric Shaver: <TEB 1124091129>. After weakening their prey, these flying creatures like to carry their victims off in a magnetic bubble.`
`0x4300312d`; `Saberling Wall-Mounted Speaker: <TEB 1124091128>. Acts as a moving target for the Magnetic Grapple once weaponized.`
`0x4300312e`; `Saberling Ceiling-Mounted Speaker:  Acts as a fixed-position target for the Magnetic Grapple once weaponized.`
`0x4300312f`; `Saberling Motion Sensor: <TEB 1124091128>. Once weaponized, its deadly laser blast can cut through all known types of energy shield, and will even destroy wooden doors; however the laser will bounce off glass surfaces.`
`0x43003130`; `Saberling Table Lamp: <TEB 1124091128>. Although it often behaves as a troop transport for hostile appliances, by grabbing its dangling power cord you can trick this enemy into carrying you to otherwise unreachable places.`
`0x43003131`; `Door mechanism jammed, this door will not open`
`0x43003132`; `Saberling CPU Fan: <TEB 1124091129>. Their ability to slow the player down can prove hazardous when combined with other enemies.`
`0x43003134`; `Activate`
`0x43003143`; `Saberling Torch: <TEB 1124091129>. It deploys electrical mines to blanket the area with a deadly EMP field, but its homing missiles can be lured to strike other targets.`
`0x43003144`; `Saberling Steam Iron: <TEB 1124091129>. Heavy iron armour can make this enemy quite tough to conquer, but it can be damaged by attacking its vulnerable interior when its plates are open.`
`0x43003145`; `Hair Drier. May be used as a weapon attachment`
`0x43003146`; `Flash Camera: Can be used by a Saberling Flying Vacuum Cleaner as a weapon attachment`
`0x43003147`; `Cordless Drill: Can be used by a Saberling Flying Vacuum Cleaner as a weapon attachment`
`0x43003148`; `Webcam. May be used as a weapon attachment`
`0x43003149`; `Saberling Security Camera: <TEB 1124091131>. Being detected by this device can trigger a security lockdown.`
`0x4300314a`; `Ammo: Plasma Cell`
`0x4300314b`; `Plasma Cells provide ammunition for the Plasma Gun`
`0x4300314c`; `Ammo: SaberSense Chip`
`0x4300314d`; `SaberSense Chips provide ammunition for the Saberlizer`
`0x4300314e`; `Ammo`
`0x4300315f`; `Design Data: Saberling Speaker Unit`
`0x43003160`; `Collaborate`
`0x43003166`; `Detailed design data files describing the Saberling Speaker Unit.`
`0x43003167`; `Speaker Blueprints: Detailed design data files describing the Saberling Speaker Unit.`
`0x43003168`; `Mission Failed`
`0x43003169`; `You failed to upload the virus.`
`0x4300316a`; `Uploading Virus…`
`0x4300316b`; `Upload Aborted!`
`0x4300316c`; `Upload Complete!`
